[2021-03-24 11:42:14] , 61.00, 62.12, 12.70
[2021-03-24 11:42:19] , 61.00, 62.06, 12.60
[2021-03-24 11:42:24] , 62.00, 62.04, 12.60
[2021-03-24 11:42:29] , 62.00, 62.04, 12.60
[2021-03-24 11:42:34] , 62.00, 62.04, 12.60
[2021-03-24 11:42:39] , 62.00, 62.04, 12.50
[2021-03-24 11:42:44] , 62.00, 62.04, 12.50
[2021-03-24 11:42:49] , 62.00, 62.02, 12.40
[2021-03-24 11:42:54] , 62.00, 62.02, 12.40
[2021-03-24 11:42:59] , 61.00, 62.00, 12.40
[2021-03-24 11:43:04] , 61.00, 61.98, 12.40
[2021-03-24 11:43:09] , 61.00, 61.96, 12.30
[2021-03-24 11:43:14] , 61.00, 61.94, 12.30
[2021-03-24 11:43:19] , 61.00, 61.92, 12.30
[2021-03-24 11:43:24] , 61.00, 61.88, 12.40
[2021-03-24 11:43:29] , 62.00, 61.86, 12.30
[2021-03-24 11:43:34] , 62.00, 61.84, 12.30
[2021-03-24 11:43:39] , 62.00, 61.82, 12.30
[2021-03-24 11:43:44] , 62.00, 61.80, 12.20
[2021-03-24 11:43:49] , 62.00, 61.78, 12.20
[2021-03-24 11:43:54] , 62.00, 61.76, 12.10
[2021-03-24 11:43:59] , 62.00, 61.74, 12.10
[2021-03-24 11:44:04] , 63.00, 61.76, 12.10
[2021-03-24 11:44:09] , 63.00, 61.78, 12.10
[2021-03-24 11:44:14] , 63.00, 61.80, 12.00
[2021-03-24 11:44:19] , 64.00, 61.82, 12.00
[2021-03-24 11:44:24] , 64.00, 61.84, 12.00
[2021-03-24 11:44:29] , 64.00, 61.86, 12.00
[2021-03-24 11:44:34] , 63.00, 61.84, 11.90
[2021-03-24 11:44:39] , 63.00, 61.82, 11.90
[2021-03-24 11:44:44] , 64.00, 61.84, 12.00
[2021-03-24 11:44:49] , 63.00, 61.84, 12.10
[2021-03-24 11:44:54] , 63.00, 61.86, 12.00
[2021-03-24 11:44:59] , 63.00, 61.88, 12.10
[2021-03-24 11:45:04] , 63.00, 61.90, 12.10
[2021-03-24 11:45:09] , 63.00, 61.92, 12.20
[2021-03-24 11:45:14] , 63.00, 61.94, 12.10
[2021-03-24 11:45:19] , 63.00, 61.98, 12.10
[2021-03-24 11:45:24] , 63.00, 62.02, 12.10
[2021-03-24 11:45:29] , 64.00, 62.08, 12.10
[2021-03-24 11:45:34] , 64.00, 62.16, 12.00
[2021-03-24 11:45:39] , 64.00, 62.22, 12.10
[2021-03-24 11:45:44] , 64.00, 62.28, 12.10
[2021-03-24 11:45:49] , 64.00, 62.34, 12.10
[2021-03-24 11:45:54] , 63.00, 62.38, 12.00
[2021-03-24 11:45:59] , 62.00, 62.40, 12.00
[2021-03-24 11:46:04] , 62.00, 62.42, 11.80
[2021-03-24 11:46:09] , 62.00, 62.44, 11.80
[2021-03-24 11:46:14] , 62.00, 62.46, 11.90
[2021-03-24 11:46:19] , 62.00, 62.48, 11.80
[2021-03-24 11:46:24] , 62.00, 62.50, 11.80
[2021-03-24 11:46:29] , 62.00, 62.52, 11.80
[2021-03-24 11:46:34] , 62.00, 62.52, 11.80
[2021-03-24 11:46:39] , 62.00, 62.52, 11.80
[2021-03-24 11:46:44] , 63.00, 62.54, 11.90
[2021-03-24 11:46:49] , 63.00, 62.56, 11.80
[2021-03-24 11:46:54] , 64.00, 62.60, 11.80
[2021-03-24 11:46:59] , 63.00, 62.62, 11.80
[2021-03-24 11:47:04] , 63.00, 62.64, 11.80
[2021-03-24 11:47:09] , 64.00, 62.70, 11.90
[2021-03-24 11:47:14] , 64.00, 62.76, 11.90
[2021-03-24 11:47:19] , 64.00, 62.82, 12.00
[2021-03-24 11:47:24] , 63.00, 62.86, 11.90
[2021-03-24 11:47:29] , 63.00, 62.90, 11.90
[2021-03-24 11:47:34] , 64.00, 62.96, 12.00
[2021-03-24 11:47:39] , 65.00, 63.02, 12.00
[2021-03-24 11:47:44] , 64.00, 63.06, 12.00
[2021-03-24 11:47:49] , 64.00, 63.10, 11.90
[2021-03-24 11:47:54] , 63.00, 63.12, 11.90
[2021-03-24 11:47:59] , 63.00, 63.14, 11.90
[2021-03-24 11:48:04] , 64.00, 63.18, 12.00
[2021-03-24 11:48:09] , 64.00, 63.22, 12.00
[2021-03-24 11:48:14] , 63.00, 63.22, 12.00
[2021-03-24 11:48:19] , 63.00, 63.22, 12.00
[2021-03-24 11:48:24] , 63.00, 63.22, 12.00
[2021-03-24 11:48:29] , 62.00, 63.18, 11.90
[2021-03-24 11:48:34] , 62.00, 63.14, 11.90
[2021-03-24 11:48:39] , 63.00, 63.12, 12.00
[2021-03-24 11:48:44] , 63.00, 63.12, 12.00
[2021-03-24 11:48:49] , 63.00, 63.12, 12.00
[2021-03-24 11:48:54] , 63.00, 63.10, 12.10
[2021-03-24 11:48:59] , 63.00, 63.10, 12.00
[2021-03-24 11:49:04] , 63.00, 63.10, 12.00
[2021-03-24 11:49:09] , 63.00, 63.10, 12.00
[2021-03-24 11:49:14] , 63.00, 63.10, 12.10
[2021-03-24 11:49:19] , 63.00, 63.10, 12.10
[2021-03-24 11:49:24] , 63.00, 63.10, 12.10
[2021-03-24 11:49:29] , 63.00, 63.10, 12.10
[2021-03-24 11:49:34] , 62.00, 63.08, 12.10
[2021-03-24 11:49:39] , 62.00, 63.04, 12.10
[2021-03-24 11:49:44] , 62.00, 63.00, 12.20
[2021-03-24 11:49:49] , 62.00, 62.96, 12.20
[2021-03-24 11:49:54] , 62.00, 62.92, 12.20
[2021-03-24 11:49:59] , 62.00, 62.88, 12.20
[2021-03-24 11:50:04] , 62.00, 62.86, 12.20
[2021-03-24 11:50:09] , 62.00, 62.86, 12.10
[2021-03-24 11:50:14] , 63.00, 62.88, 12.10
[2021-03-24 11:50:19] , 63.00, 62.90, 12.10
[2021-03-24 11:50:24] , 63.00, 62.92, 12.10
[2021-03-24 11:50:29] , 63.00, 62.94, 12.10
[2021-03-24 11:50:34] , 63.00, 62.96, 12.10
[2021-03-24 11:50:39] , 63.00, 62.98, 12.10
[2021-03-24 11:50:44] , 62.00, 62.98, 12.10
[2021-03-24 11:50:49] , 62.00, 62.98, 12.10
[2021-03-24 11:50:54] , 62.00, 62.96, 12.10
[2021-03-24 11:50:59] , 62.00, 62.94, 12.10
[2021-03-24 11:51:04] , 62.00, 62.90, 12.10
[2021-03-24 11:51:09] , 63.00, 62.90, 12.20
[2021-03-24 11:51:14] , 63.00, 62.90, 12.20
[2021-03-24 11:51:19] , 63.00, 62.88, 12.20
[2021-03-24 11:51:24] , 63.00, 62.86, 12.10
[2021-03-24 11:51:29] , 63.00, 62.84, 12.10
[2021-03-24 11:51:34] , 63.00, 62.84, 12.10
[2021-03-24 11:51:39] , 63.00, 62.84, 12.00
[2021-03-24 11:51:44] , 63.00, 62.82, 12.00
[2021-03-24 11:51:49] , 63.00, 62.78, 12.00
[2021-03-24 11:51:54] , 62.00, 62.74, 11.90
[2021-03-24 11:51:59] , 63.00, 62.72, 12.00
[2021-03-24 11:52:04] , 62.00, 62.70, 11.90
[2021-03-24 11:52:09] , 64.00, 62.72, 12.00
[2021-03-24 11:52:14] , 63.00, 62.70, 12.00
[2021-03-24 11:52:19] , 64.00, 62.70, 12.00
[2021-03-24 11:52:24] , 63.00, 62.70, 12.00
[2021-03-24 11:52:29] , 63.00, 62.70, 12.10
[2021-03-24 11:52:34] , 63.00, 62.70, 12.10
[2021-03-24 11:52:39] , 63.00, 62.72, 12.10
[2021-03-24 11:52:44] , 63.00, 62.74, 12.10
[2021-03-24 11:52:49] , 63.00, 62.74, 12.10
[2021-03-24 11:52:54] , 63.00, 62.74, 12.10
